Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
wh-adjunct,3,42.857142857142854,3,15.789473684210526,0.6666666666666666,0.6666666666666666,0.6666666666666666
,
DEICTICITY,124,7.259953161592506,108,7.077326343381389,0.9166666666666666,0.7983870967741935,0.8534482758620691
temporal,114,91.93548387096774,105,97.22222222222221,0.9238095238095239,0.8508771929824561,0.8858447488584474
modal,10,8.064516129032258,3,2.7777777777777777,0.6666666666666666,0.2,0.30769230769230765
,
NON-FINITE-TYPE,24,1.405152224824356,29,1.9003931847968545,0.6896551724137931,0.8333333333333334,0.7547169811320755
imperfective,7,29.166666666666668,15,51.724137931034484,0.4,0.8571428571428571,0.5454545454545455
perfective,17,70.83333333333334,14,48.275862068965516,1.0,0.8235294117647058,0.9032258064516129
,
VOICE-TYPE,147,8.60655737704918,136,8.91218872870249,0.9044117647058824,0.8367346938775511,0.8692579505300353
active,143,97.27891156462584,125,91.91176470588235,0.96,0.8391608391608392,0.8955223880597014
passive,4,2.7210884353741496,11,8.088235294117647,0.2727272727272727,0.75,0.39999999999999997
,
POLARITY-TYPE,147,8.60655737704918,138,9.043250327653997,0.8405797101449275,0.7891156462585034,0.8140350877192982
positive,136,92.51700680272108,111,80.43478260869566,0.954954954954955,0.7794117647058824,0.8582995951417005
negative,11,7.482993197278912,27,19.565217391304348,0.37037037037037035,0.9090909090909091,0.5263157894736842
,
Mann <=> Auto Mapping,
major,"m, a, j, o, r"
probability,"p, r, o, b, a, b, i, l, i, t, y"
inclination-volition,"i, n, c, l, i, n, a, t, i, o, n, -, v, o, l, i, t, i, o, n"
clause,"c, l, a, u, s, e"
epistemic-evaluative,"e, p, i, s, t, e, m, i, c, -, e, v, a, l, u, a, t, i, v, e"
non-epistemic,"n, o, n, -, e, p, i, s, t, e, m, i, c"
bound,"b, o, u, n, d"
obligation-permission,"o, b, l, i, g, a, t, i, o, n, -, p, e, r, m, i, s, s, i, o, n"
past,"p, a, s, t"
middle,"m, i, d, d, l, e"
intensity,"i, n, t, e, n, s, i, t, y"
interpersonal,"i, n, t, e, r, p, e, r, s, o, n, a, l"
non-agentive,"n, o, n, -, a, g, e, n, t, i, v, e"
